subject_id,classifier,n_total_trials,n_left_trials,n_right_trials,mean_loso_accuracy,std_loso_accuracy,min_fold_accuracy,max_fold_accuracy
S006,lda,45,24,21,0.5555555555555555,0.03142696805273544,0.5333333333333333,0.6
S012,lda,45,21,24,0.5555555555555555,0.136986977843755,0.4,0.7333333333333333
S020,lda,45,23,22,0.5555555555555555,0.1133115447465063,0.4,0.6666666666666666
S084,lda,45,23,22,0.5555555555555555,0.03142696805273544,0.5333333333333333,0.6
S023,lda,45,22,23,0.5555555555555555,0.1133115447465063,0.4,0.6666666666666666
S058,lda,45,24,21,0.5555555555555555,0.1133115447465063,0.4,0.6666666666666666
S078,lda,45,23,22,0.5555555555555555,0.03142696805273544,0.5333333333333333,0.6
S013,lda,45,23,22,0.5555555555555555,0.0831479419283098,0.4666666666666667,0.6666666666666666
S040,lda,45,21,24,0.5555555555555555,0.03142696805273544,0.5333333333333333,0.6
S091,lda,45,22,23,0.5333333333333333,0.09428090415820632,0.4666666666666667,0.6666666666666666
S086,lda,45,22,23,0.5333333333333333,0.10886621079036345,0.4,0.6666666666666666
S014,lda,45,22,23,0.5333333333333333,0.09428090415820632,0.4,0.6
S087,lda,45,22,23,0.5333333333333333,0.1632993161855452,0.3333333333333333,0.7333333333333333
S065,lda,45,24,21,0.5333333333333333,0.09428090415820632,0.4666666666666667,0.6666666666666666
S009,lda,45,24,21,0.5333333333333333,0.09428090415820632,0.4666666666666667,0.6666666666666666
S024,lda,45,22,23,0.5333333333333333,0.09428090415820632,0.4666666666666667,0.6666666666666666
S004,lda,45,23,22,0.5333333333333333,0.05443310539518172,0.4666666666666667,0.6
S036,lda,45,23,22,0.5333333333333333,0.14401645996461906,0.4,0.7333333333333333
S050,lda,45,23,22,0.5333333333333333,0.10886621079036345,0.4,0.6666666666666666
S064,lda,44,23,21,0.5206349206349207,0.07055908181235832,0.42857142857142855,0.6
S101,lda,45,22,23,0.5111111111111111,0.03142696805273544,0.4666666666666667,0.5333333333333333
S057,lda,45,24,21,0.5111111111111111,0.0831479419283098,0.4,0.6
S005,lda,45,21,24,0.5111111111111111,0.06285393610547088,0.4666666666666667,0.6
S082,lda,45,23,22,0.5111111111111111,0.0831479419283098,0.4,0.6
S044,lda,45,22,23,0.5111111111111111,0.06285393610547088,0.4666666666666667,0.6
S076,lda,42,21,21,0.5,0.0,0.5,0.5
S079,lda,45,22,23,0.48888888888888893,0.03142696805273544,0.4666666666666667,0.5333333333333333
S077,lda,45,21,24,0.48888888888888893,0.03142696805273544,0.4666666666666667,0.5333333333333333
S047,lda,45,24,21,0.48888888888888893,0.03142696805273544,0.4666666666666667,0.5333333333333333
S039,lda,45,23,22,0.48888888888888893,0.03142696805273544,0.4666666666666667,0.5333333333333333
S037,lda,43,22,21,0.48888888888888893,0.01571348402636772,0.4666666666666667,0.5
S059,lda,45,24,21,0.48888888888888893,0.03142696805273544,0.4666666666666667,0.5333333333333333
S066,lda,45,22,23,0.48888888888888893,0.03142696805273544,0.4666666666666667,0.5333333333333333
S017,lda,45,23,22,0.48888888888888893,0.12570787221094176,0.4,0.6666666666666666
S016,lda,45,22,23,0.48888888888888893,0.0831479419283098,0.4,0.6
S073,lda,42,21,21,0.4761904761904762,0.08908708063747478,0.35714285714285715,0.5714285714285714
S041,lda,44,23,21,0.4746031746031745,0.08305698699651509,0.35714285714285715,0.5333333333333333
S019,lda,45,23,22,0.4666666666666666,0.054433105395181716,0.4,0.5333333333333333
S021,lda,45,24,21,0.4666666666666666,5.551115123125783e-17,0.4666666666666667,0.4666666666666667
S030,lda,45,24,21,0.4666666666666666,0.09428090415820634,0.3333333333333333,0.5333333333333333
S046,lda,45,23,22,0.4666666666666666,0.054433105395181716,0.4,0.5333333333333333
S018,lda,45,22,23,0.4444444444444445,0.03142696805273544,0.4,0.4666666666666667
S028,lda,45,22,23,0.4444444444444445,0.06285393610547088,0.4,0.5333333333333333
S102,lda,42,21,21,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855
S068,lda,45,22,23,0.4222222222222222,0.06285393610547091,0.3333333333333333,0.4666666666666667
S109,lda,45,23,22,0.37777777777777777,0.03142696805273547,0.3333333333333333,0.4
S096,lda,45,23,22,0.2888888888888889,0.06285393610547088,0.2,0.3333333333333333
